Number,Name,Type1,Type2,Abilities,HP,Attack,Defense,SpAtk,SpDef,Speed,BST,Mean,Std,Gen
204,Pineco,Bug,,"['Overcoat', 'Sturdy']",50,65,90,35,35,15,290,48.333333333333336,24.09472049133493,2.0
205,Forretress,Bug,Steel,"['Overcoat', 'Sturdy']",75,90,140,60,60,40,465,77.5,31.85252475602732,2.0
206,Dunsparce,Normal,,"['Rattled', 'Run Away', 'Serene Grace']",100,70,70,65,65,45,415,69.16666666666667,16.18040653245633,2.0
207,Gligar,Ground,Flying,"['Hyper Cutter', 'Immunity', 'Sand Veil']",65,75,105,35,65,85,430,71.66666666666667,21.34374745810949,2.0
208,Steelix,Steel,Ground,"['Rock Head', 'Sheer Force', 'Sturdy']",75,85,200,55,65,30,510,85.0,54.23713365090993,2.0
209,Snubbull,Fairy,,"['Intimidate', 'Rattled', 'Run Away']",60,80,50,40,40,30,300,50.0,16.329931618554518,2.0
210,Granbull,Fairy,,"['Intimidate', 'Quick Feet', 'Rattled']",90,120,75,60,60,45,450,75.0,24.49489742783178,2.0
211,Qwilfish,Water,Poison,"['Intimidate', 'Poison Point', 'Swift Swim']",65,95,85,55,55,85,440,73.33333333333333,15.723301886761003,2.0
212,Scizor,Bug,Steel,"['Light Metal', 'Swarm', 'Technician']",70,130,100,55,80,65,500,83.33333333333333,25.110865288865604,2.0
213,Shuckle,Bug,Rock,"['Contrary', 'Gluttony', 'Sturdy']",20,10,230,10,230,5,505,84.16666666666667,103.21565880341132,2.0
214,Heracross,Bug,Fighting,"['Guts', 'Moxie', 'Swarm']",80,125,75,40,95,85,500,83.33333333333333,25.27625148017184,2.0
215,Sneasel,Dark,Ice,"['Inner Focus', 'Keen Eye', 'Pickpocket']",55,95,55,35,75,115,430,71.66666666666667,26.874192494328497,2.0
216,Teddiursa,Normal,,"['Honey Gather', 'Pickup', 'Quick Feet']",60,80,50,50,50,40,330,55.0,12.583057392117915,2.0
217,Ursaring,Normal,,"['Guts', 'Quick Feet', 'Unnerve']",90,130,75,75,75,55,500,83.33333333333333,23.21398046197353,2.0
218,Slugma,Fire,,"['Flame Body', 'Magma Armor', 'Weak Armor']",40,40,40,70,40,20,250,41.66666666666666,14.624940645653536,2.0
219,Magcargo,Fire,Rock,"['Flame Body', 'Magma Armor', 'Weak Armor']",60,50,120,90,80,30,430,71.66666666666667,29.1070819942883,2.0
220,Swinub,Ice,Ground,"['Oblivious', 'Snow Cloak', 'Thick Fat']",50,50,40,30,30,50,250,41.66666666666666,8.975274678557506,2.0
221,Piloswine,Ice,Ground,"['Oblivious', 'Snow Cloak', 'Thick Fat']",100,100,80,60,60,50,450,75.0,19.7905701450632,2.0
222,Corsola,Water,Rock,"['Hustle', 'Natural Cure', 'Regenerator']",65,55,95,65,95,35,410,68.33333333333333,21.34374745810949,2.0
223,Remoraid,Water,,"['Hustle', 'Moody', 'Sniper']",35,65,35,65,35,65,300,50.0,15.0,2.0
224,Octillery,Water,,"['Moody', 'Sniper', 'Suction Cups']",75,105,75,105,75,45,480,80.0,20.615528128088304,2.0
225,Delibird,Ice,Flying,"['Hustle', 'Insomnia', 'Vital Spirit']",45,55,45,65,45,75,330,55.0,11.547005383792516,2.0
226,Mantine,Water,Flying,"['Swift Swim', 'Water Absorb', 'Water Veil']",85,40,70,80,140,70,485,80.83333333333333,30.05781466145239,2.0
227,Skarmory,Steel,Flying,"['Keen Eye', 'Sturdy', 'Weak Armor']",65,80,140,40,70,70,465,77.5,30.516389039334257,2.0
228,Houndour,Dark,Fire,"['Early Bird', 'Flash Fire', 'Unnerve']",45,60,30,80,50,65,330,55.0,15.811388300841896,2.0
229,Houndoom,Dark,Fire,"['Early Bird', 'Flash Fire', 'Unnerve']",75,90,50,110,80,95,500,83.33333333333333,18.63389981249825,2.0
230,Kingdra,Water,Dragon,"['Damp', 'Sniper', 'Swift Swim']",75,95,95,95,95,85,540,90.0,7.637626158259733,2.0
231,Phanpy,Ground,,"['Pickup', 'Sand Veil']",90,60,60,40,40,40,330,55.0,18.027756377319943,2.0
232,Donphan,Ground,,"['Sand Veil', 'Sturdy']",90,120,120,60,60,50,500,83.33333333333333,28.67441755680876,2.0
233,Porygon2,Normal,,"['Analytic', 'Download', 'Trace']",85,80,90,105,95,60,515,85.83333333333333,13.969212178533509,2.0
234,Stantler,Normal,,"['Frisk', 'Intimidate', 'Sap Sipper']",73,95,62,85,65,85,465,77.5,11.800423721205949,2.0
235,Smeargle,Normal,,"['Moody', 'Own Tempo', 'Technician']",55,20,35,20,45,75,250,41.66666666666666,19.507833184532707,2.0
236,Tyrogue,Fighting,,"['Guts', 'Steadfast', 'Vital Spirit']",35,35,35,35,35,35,210,35.0,0.0,2.0
237,Hitmontop,Fighting,,"['Intimidate', 'Steadfast', 'Technician']",50,95,95,35,110,70,455,75.83333333333333,26.679684322636867,2.0
238,Smoochum,Ice,Psychic,"['Forewarn', 'Hydration', 'Oblivious']",45,30,15,85,65,65,305,50.833333333333336,23.52599035582184,2.0
239,Elekid,Electric,,"['Static', 'Vital Spirit']",45,63,37,65,55,95,360,60.0,18.43004792903878,2.0
240,Magby,Fire,,"['Flame Body', 'Vital Spirit']",45,75,37,70,55,83,365,60.833333333333336,16.47641411904369,2.0
241,Miltank,Normal,,"['Sap Sipper', 'Scrappy', 'Thick Fat']",95,80,105,40,70,100,490,81.66666666666667,22.110831935702667,2.0
242,Blissey,Normal,,"['Healer', 'Natural Cure', 'Serene Grace']",255,10,10,75,135,55,540,90.0,85.14693182963201,2.0
243,Raikou,Electric,,"['Inner Focus', 'Pressure']",90,85,75,115,100,115,580,96.66666666666669,14.907119849998598,2.0
244,Entei,Fire,,"['Inner Focus', 'Pressure']",115,115,85,90,75,100,580,96.66666666666669,14.907119849998598,2.0
245,Suicune,Water,,"['Inner Focus', 'Pressure']",100,75,115,90,115,85,580,96.66666666666669,14.907119849998598,2.0
246,Larvitar,Rock,Ground,"['Guts', 'Sand Veil']",50,64,50,45,50,41,300,50.0,7.094598884597588,2.0
247,Pupitar,Rock,Ground,['Shed Skin'],70,84,70,65,70,51,410,68.33333333333333,9.706813185707356,2.0
248,Tyranitar,Rock,Dark,"['Sand Stream', 'Unnerve']",100,134,110,95,100,61,600,100.0,21.61018278497431,2.0
249,Lugia,Psychic,Flying,"['Multiscale', 'Pressure']",106,90,130,90,154,110,680,113.33333333333331,22.6764684689266,2.0
251,Celebi,Psychic,Grass,['Natural Cure'],100,100,100,100,100,100,600,100.0,0.0,2.0
252,Treecko,Grass,,"['Overgrow', 'Unburden']",40,45,35,65,55,70,310,51.66666666666666,12.801909579781013,3.0
253,Grovyle,Grass,,"['Overgrow', 'Unburden']",50,65,45,85,65,95,405,67.5,17.73649721149397,3.0
254,Sceptile,Grass,,"['Overgrow', 'Unburden']",70,85,65,105,85,120,530,88.33333333333333,19.075871903766,3.0
255,Torchic,Fire,,"['Blaze', 'Speed Boost']",45,60,40,70,50,45,310,51.66666666666666,10.274023338281626,3.0
256,Combusken,Fire,Fighting,"['Blaze', 'Speed Boost']",60,85,60,85,60,55,405,67.5,12.5,3.0
257,Blaziken,Fire,Fighting,"['Blaze', 'Speed Boost']",80,120,70,110,70,80,530,88.33333333333333,19.507833184532707,3.0
258,Mudkip,Water,,"['Damp', 'Torrent']",50,70,50,50,50,40,310,51.66666666666666,8.975274678557506,3.0
259,Marshtomp,Water,Ground,"['Damp', 'Torrent']",70,85,70,60,70,50,405,67.5,10.70436048222094,3.0
260,Swampert,Water,Ground,"['Damp', 'Torrent']",100,110,90,85,90,60,535,89.16666666666667,15.388487760516156,3.0
261,Poochyena,Dark,,"['Quick Feet', 'Rattled', 'Run Away']",35,55,35,30,30,35,220,36.66666666666666,8.498365855987974,3.0
262,Mightyena,Dark,,"['Intimidate', 'Moxie', 'Quick Feet']",70,90,70,60,60,70,420,70.0,10.0,3.0
263,Zigzagoon,Normal,,"['Gluttony', 'Pickup', 'Quick Feet']",38,30,41,30,41,60,240,40.0,10.04987562112089,3.0
264,Linoone,Normal,,"['Gluttony', 'Pickup', 'Quick Feet']",78,70,61,50,61,100,420,70.0,15.947831618540912,3.0
265,Wurmple,Bug,,"['Run Away', 'Shield Dust']",45,45,35,20,30,20,195,32.5,10.307764064044152,3.0
266,Silcoon,Bug,,['Shed Skin'],50,35,55,25,25,15,205,34.166666666666664,14.264368973853074,3.0
267,Beautifly,Bug,Flying,"['Rivalry', 'Swarm']",60,70,50,100,50,65,395,65.83333333333333,16.93533452741798,3.0
268,Cascoon,Bug,,['Shed Skin'],50,35,55,25,25,15,205,34.166666666666664,14.264368973853074,3.0
269,Dustox,Bug,Poison,['Shield Dust'],60,50,70,50,90,65,385,64.16666666666667,13.667682889047272,3.0
270,Lotad,Water,Grass,"['Own Tempo', 'Rain Dish', 'Swift Swim']",40,30,30,40,50,30,220,36.66666666666666,7.453559924999299,3.0
271,Lombre,Water,Grass,"['Own Tempo', 'Rain Dish', 'Swift Swim']",60,50,50,60,70,50,340,56.66666666666666,7.453559924999299,3.0
272,Ludicolo,Water,Grass,"['Own Tempo', 'Rain Dish', 'Swift Swim']",80,70,70,90,100,70,480,80.0,11.547005383792516,3.0
273,Seedot,Grass,,"['Chlorophyll', 'Early Bird', 'Pickpocket']",40,40,50,30,30,30,220,36.66666666666666,7.453559924999299,3.0
274,Nuzleaf,Grass,Dark,"['Chlorophyll', 'Early Bird', 'Pickpocket']",70,70,40,60,40,60,340,56.66666666666666,12.47219128924647,3.0
275,Shiftry,Grass,Dark,"['Chlorophyll', 'Early Bird', 'Pickpocket']",90,100,60,90,60,80,480,80.0,15.275252316519468,3.0
276,Taillow,Normal,Flying,"['Guts', 'Scrappy']",40,55,30,30,30,85,270,45.0,20.0,3.0
277,Swellow,Normal,Flying,"['Guts', 'Scrappy']",60,85,60,75,50,125,455,75.83333333333333,24.73470346609305,3.0
278,Wingull,Water,Flying,"['Hydration', 'Keen Eye', 'Rain Dish']",40,30,30,55,30,85,270,45.0,20.0,3.0
279,Pelipper,Water,Flying,"['Drizzle', 'Keen Eye', 'Rain Dish']",60,50,100,95,70,65,440,73.33333333333333,18.18118685772619,3.0
280,Ralts,Psychic,Fairy,"['Synchronize', 'Telepathy', 'Trace']",28,25,25,45,35,40,198,33.0,7.637626158259733,3.0
281,Kirlia,Psychic,Fairy,"['Synchronize', 'Telepathy', 'Trace']",38,35,35,65,55,50,278,46.333333333333336,11.279282877125754,3.0
282,Gardevoir,Psychic,Fairy,"['Synchronize', 'Telepathy', 'Trace']",68,65,65,125,115,80,518,86.33333333333333,24.506235034283737,3.0
283,Surskit,Bug,Water,"['Rain Dish', 'Swift Swim']",40,30,32,50,52,65,269,44.833333333333336,12.198588260760156,3.0
284,Masquerain,Bug,Flying,"['Intimidate', 'Unnerve']",70,60,62,100,82,80,454,75.66666666666667,13.634107557478377,3.0
285,Shroomish,Grass,,"['Effect Spore', 'Poison Heal', 'Quick Feet']",60,40,60,40,60,35,295,49.16666666666666,10.96078869830492,3.0
286,Breloom,Grass,Fighting,"['Effect Spore', 'Poison Heal', 'Technician']",60,130,80,60,60,70,460,76.66666666666667,24.94438257849294,3.0
287,Slakoth,Normal,,['Truant'],60,60,60,35,35,30,280,46.66666666666666,13.43709624716425,3.0
288,Vigoroth,Normal,,['Vital Spirit'],80,80,80,55,55,90,440,73.33333333333333,13.43709624716425,3.0
289,Slaking,Normal,,['Truant'],150,160,100,95,65,100,670,111.66666666666669,32.99831645537222,3.0
290,Nincada,Bug,Ground,['Run Away'],31,45,90,30,30,40,266,44.333333333333336,21.18699810942761,3.0
291,Ninjask,Bug,Flying,"['Infiltrator', 'Speed Boost']",61,90,45,50,50,160,456,76.0,40.39389392800187,3.0
292,Shedinja,Bug,Ghost,['Wonder Guard'],1,90,45,30,30,40,236,39.333333333333336,26.59365003571759,3.0
293,Whismur,Normal,,"['Rattled', 'Soundproof']",64,51,23,51,23,28,240,40.0,16.02081978759722,3.0
294,Loudred,Normal,,"['Scrappy', 'Soundproof']",84,71,43,71,43,48,360,60.0,16.02081978759722,3.0
295,Exploud,Normal,,"['Scrappy', 'Soundproof']",104,91,63,91,73,68,490,81.66666666666667,14.624940645653538,3.0
296,Makuhita,Fighting,,"['Guts', 'Sheer Force', 'Thick Fat']",72,60,30,20,30,25,237,39.5,19.354155453889827,3.0
297,Hariyama,Fighting,,"['Guts', 'Sheer Force', 'Thick Fat']",144,120,60,40,60,50,474,79.0,38.708310907779655,3.0
298,Azurill,Normal,Fairy,"['Huge Power', 'Sap Sipper', 'Thick Fat']",50,20,40,20,40,20,190,31.666666666666668,12.133516482134198,3.0
299,Nosepass,Rock,,"['Magnet Pull', 'Sand Force', 'Sturdy']",30,45,135,45,90,30,375,62.5,38.16084380618437,3.0
300,Skitty,Normal,,"['Cute Charm', 'Normalize', 'Wonder Skin']",50,45,45,35,35,50,260,43.333333333333336,6.236095644623235,3.0
301,Delcatty,Normal,,"['Cute Charm', 'Normalize', 'Wonder Skin']",70,65,65,55,55,90,400,66.66666666666667,11.785113019775793,3.0
302,Sableye,Dark,Ghost,"['Keen Eye', 'Prankster', 'Stall']",50,75,75,65,65,50,380,63.333333333333336,10.274023338281626,3.0
303,Mawile,Steel,Fairy,"['Hyper Cutter', 'Intimidate', 'Sheer Force']",50,85,85,55,55,50,380,63.333333333333336,15.456030825826172,3.0
304,Aron,Steel,Rock,"['Heavy Metal', 'Rock Head', 'Sturdy']",50,70,100,40,40,30,330,55.0,23.62907813126304,3.0
305,Lairon,Steel,Rock,"['Heavy Metal', 'Rock Head', 'Sturdy']",60,90,140,50,50,40,430,71.66666666666667,34.35921354681384,3.0
306,Aggron,Steel,Rock,"['Heavy Metal', 'Rock Head', 'Sturdy']",70,110,180,60,60,50,530,88.33333333333333,45.24623986832742,3.0
307,Meditite,Fighting,Psychic,"['Pure Power', 'Telepathy']",30,40,55,40,55,60,280,46.66666666666666,10.671873729054749,3.0
308,Medicham,Fighting,Psychic,"['Pure Power', 'Telepathy']",60,60,75,60,75,80,410,68.33333333333333,8.498365855987975,3.0
309,Electrike,Electric,,"['Lightning Rod', 'Minus', 'Static']",40,45,40,65,40,65,295,49.16666666666666,11.334558757279536,3.0
310,Manectric,Electric,,"['Lightning Rod', 'Minus', 'Static']",70,75,60,105,60,105,475,79.16666666666667,19.02118701752221,3.0
311,Plusle,Electric,,"['Lightning Rod', 'Plus']",60,50,40,85,75,95,405,67.5,19.311050377094112,3.0
312,Minun,Electric,,"['Minus', 'Volt Absorb']",60,40,50,75,85,95,405,67.5,19.311050377094112,3.0
313,Volbeat,Bug,,"['Illuminate', 'Prankster', 'Swarm']",65,73,75,47,85,85,430,71.66666666666667,13.046923860520618,3.0
314,Illumise,Bug,,"['Oblivious', 'Prankster', 'Tinted Lens']",65,47,75,73,85,85,430,71.66666666666667,13.046923860520618,3.0
315,Roselia,Grass,Poison,"['Leaf Guard', 'Natural Cure', 'Poison Point']",50,60,45,100,80,65,400,66.66666666666667,18.63389981249825,3.0
316,Gulpin,Poison,,"['Gluttony', 'Liquid Ooze', 'Sticky Hold']",70,43,53,43,53,40,302,50.333333333333336,10.126971687308874,3.0
317,Swalot,Poison,,"['Gluttony', 'Liquid Ooze', 'Sticky Hold']",100,73,83,73,83,55,467,77.83333333333333,13.618818679394414,3.0
318,Carvanha,Water,Dark,"['Rough Skin', 'Speed Boost']",45,90,20,65,20,65,305,50.833333333333336,25.399584423546948,3.0
319,Sharpedo,Water,Dark,"['Rough Skin', 'Speed Boost']",70,120,40,95,40,95,460,76.66666666666667,29.674156357941424,3.0
320,Wailmer,Water,,"['Oblivious', 'Pressure', 'Water Veil']",130,70,35,70,35,60,400,66.66666666666667,31.84162195757133,3.0
321,Wailord,Water,,"['Oblivious', 'Pressure', 'Water Veil']",170,90,45,90,45,60,500,83.33333333333333,42.97932319409209,3.0
322,Numel,Fire,Ground,"['Oblivious', 'Own Tempo', 'Simple']",60,60,40,65,45,35,305,50.833333333333336,11.334558757279536,3.0
323,Camerupt,Fire,Ground,"['Anger Point', 'Magma Armor', 'Solid Rock']",70,100,70,105,75,40,460,76.66666666666667,21.53807997220014,3.0
324,Torkoal,Fire,,"['Drought', 'Shell Armor', 'White Smoke']",70,85,140,85,70,20,470,78.33333333333333,35.19785346990479,3.0
325,Spoink,Psychic,,"['Gluttony', 'Own Tempo', 'Thick Fat']",60,25,35,70,80,60,330,55.0,19.14854215512676,3.0
326,Grumpig,Psychic,,"['Gluttony', 'Own Tempo', 'Thick Fat']",80,45,65,90,110,80,470,78.33333333333333,20.13840995599095,3.0
327,Spinda,Normal,,"['Contrary', 'Own Tempo', 'Tangled Feet']",60,60,60,60,60,60,360,60.0,0.0,3.0
328,Trapinch,Ground,,"['Arena Trap', 'Hyper Cutter', 'Sheer Force']",45,100,45,45,45,10,290,48.333333333333336,26.40496586292476,3.0
329,Vibrava,Ground,Dragon,['Levitate'],50,70,50,50,50,70,340,56.66666666666666,9.428090415820632,3.0
330,Flygon,Ground,Dragon,['Levitate'],80,100,80,80,80,100,520,86.66666666666667,9.428090415820634,3.0
331,Cacnea,Grass,,"['Sand Veil', 'Water Absorb']",50,85,40,85,40,35,335,55.833333333333336,21.09831483528693,3.0
332,Cacturne,Grass,Dark,"['Sand Veil', 'Water Absorb']",70,115,60,115,60,55,475,79.16666666666667,25.72558173405522,3.0
333,Swablu,Normal,Flying,"['Cloud Nine', 'Natural Cure']",45,40,60,40,75,50,310,51.66666666666666,12.47219128924647,3.0
334,Altaria,Dragon,Flying,"['Cloud Nine', 'Natural Cure']",75,70,90,70,105,80,490,81.66666666666667,12.47219128924647,3.0
335,Zangoose,Normal,,"['Immunity', 'Toxic Boost']",73,115,60,60,60,90,458,76.33333333333333,20.385179801894207,3.0
336,Seviper,Poison,,"['Infiltrator', 'Shed Skin']",73,100,60,100,60,65,458,76.33333333333333,17.288403306519918,3.0
337,Lunatone,Rock,Psychic,['Levitate'],90,55,65,95,85,70,460,76.66666666666667,14.337208778404378,3.0
338,Solrock,Rock,Psychic,['Levitate'],90,95,85,55,65,70,460,76.66666666666667,14.337208778404378,3.0
339,Barboach,Water,Ground,"['Anticipation', 'Hydration', 'Oblivious']",50,48,43,46,41,60,288,48.0,6.137317546507322,3.0
340,Whiscash,Water,Ground,"['Anticipation', 'Hydration', 'Oblivious']",110,78,73,76,71,60,468,78.0,15.416441439796236,3.0
341,Corphish,Water,,"['Adaptability', 'Hyper Cutter', 'Shell Armor']",43,80,65,50,35,35,308,51.333333333333336,16.397831834998456,3.0
342,Crawdaunt,Water,Dark,"['Adaptability', 'Hyper Cutter', 'Shell Armor']",63,120,85,90,55,55,468,78.0,23.2379000772445,3.0
343,Baltoy,Ground,Psychic,['Levitate'],40,40,55,40,70,55,300,50.0,11.180339887498947,3.0
344,Claydol,Ground,Psychic,['Levitate'],60,70,105,70,120,75,500,83.33333333333333,21.53807997220014,3.0
345,Lileep,Rock,Grass,"['Storm Drain', 'Suction Cups']",66,41,77,61,87,23,355,59.16666666666666,21.52840500878368,3.0
346,Cradily,Rock,Grass,"['Storm Drain', 'Suction Cups']",86,81,97,81,107,43,495,82.5,19.94784867264304,3.0
347,Anorith,Rock,Bug,"['Battle Armor', 'Swift Swim']",45,95,50,40,50,75,355,59.16666666666666,19.454362549881253,3.0
348,Armaldo,Rock,Bug,"['Battle Armor', 'Swift Swim']",75,125,100,70,80,45,495,82.5,24.958298553119896,3.0
349,Feebas,Water,,"['Adaptability', 'Oblivious', 'Swift Swim']",20,15,20,10,55,80,200,33.333333333333336,25.440562537456245,3.0
350,Milotic,Water,,"['Competitive', 'Cute Charm', 'Marvel Scale']",95,60,79,100,125,81,540,90.0,20.21550560007508,3.0
351,Castform,Normal,,['Forecast'],70,70,70,70,70,70,420,70.0,0.0,3.0
352,Kecleon,Normal,,"['Color Change', 'Protean']",60,90,70,60,120,40,440,73.33333333333333,25.603819159562025,3.0
353,Shuppet,Ghost,,"['Cursed Body', 'Frisk', 'Insomnia']",44,75,35,63,33,45,295,49.16666666666666,15.082182276521598,3.0
354,Banette,Ghost,,"['Cursed Body', 'Frisk', 'Insomnia']",64,115,65,83,63,65,455,75.83333333333333,18.818578290851008,3.0
355,Duskull,Ghost,,"['Frisk', 'Levitate']",20,40,90,30,90,25,295,49.16666666666666,29.49811670071309,3.0
356,Dusclops,Ghost,,"['Frisk', 'Pressure']",40,70,130,60,130,25,455,75.83333333333333,40.86733278413076,3.0
357,Tropius,Grass,Flying,"['Chlorophyll', 'Harvest', 'Solar Power']",99,68,83,72,87,51,460,76.66666666666667,15.2825245151302,3.0
358,Chimecho,Psychic,,['Levitate'],75,50,80,95,90,65,455,75.83333333333333,15.11529762268088,3.0
359,Absol,Dark,,"['Justified', 'Pressure', 'Super Luck']",65,130,60,75,60,75,465,77.5,24.28133714055577,3.0
360,Wynaut,Psychic,,"['Shadow Tag', 'Telepathy']",95,23,48,23,48,23,260,43.333333333333336,25.66883107757128,3.0
361,Snorunt,Ice,,"['Ice Body', 'Inner Focus', 'Moody']",50,50,50,50,50,50,300,50.0,0.0,3.0
362,Glalie,Ice,,"['Ice Body', 'Inner Focus', 'Moody']",80,80,80,80,80,80,480,80.0,0.0,3.0
363,Spheal,Ice,Water,"['Ice Body', 'Oblivious', 'Thick Fat']",70,40,50,55,50,25,290,48.333333333333336,13.743685418725535,3.0
364,Sealeo,Ice,Water,"['Ice Body', 'Oblivious', 'Thick Fat']",90,60,70,75,70,45,410,68.33333333333333,13.743685418725535,3.0
365,Walrein,Ice,Water,"['Ice Body', 'Oblivious', 'Thick Fat']",110,80,90,95,90,65,530,88.33333333333333,13.743685418725535,3.0
366,Clamperl,Water,,"['Rattled', 'Shell Armor']",35,64,85,74,55,32,345,57.5,19.29378138157474,3.0
367,Huntail,Water,,"['Swift Swim', 'Water Veil']",55,104,105,94,75,52,485,80.83333333333333,21.70573400944757,3.0
368,Gorebyss,Water,,"['Hydration', 'Swift Swim']",55,84,105,114,75,52,485,80.83333333333333,23.19063508305789,3.0
369,Relicanth,Water,Rock,"['Rock Head', 'Sturdy', 'Swift Swim']",100,90,130,45,65,55,485,80.83333333333333,29.071272570854013,3.0
370,Luvdisc,Water,,"['Hydration', 'Swift Swim']",43,30,55,40,65,97,330,55.0,21.82506204649447,3.0
371,Bagon,Dragon,,"['Rock Head', 'Sheer Force']",45,75,60,40,30,50,300,50.0,14.433756729740644,3.0
372,Shelgon,Dragon,,"['Overcoat', 'Rock Head']",65,95,100,60,50,50,420,70.0,20.207259421636905,3.0
373,Salamence,Dragon,Flying,"['Intimidate', 'Moxie']",95,135,80,110,80,100,600,100.0,18.929694486000912,3.0
374,Beldum,Steel,Psychic,"['Clear Body', 'Light Metal']",40,55,80,35,60,30,300,50.0,17.078251276599328,3.0
375,Metang,Steel,Psychic,"['Clear Body', 'Light Metal']",60,75,100,55,80,50,420,70.0,17.078251276599328,3.0
376,Metagross,Steel,Psychic,"['Clear Body', 'Light Metal']",80,135,130,95,90,70,600,100.0,24.324199198877373,3.0
377,Regirock,Rock,,"['Clear Body', 'Sturdy']",80,100,200,50,100,50,580,96.66666666666669,50.55250296034367,3.0
378,Regice,Ice,,"['Clear Body', 'Ice Body']",80,50,100,100,200,50,580,96.66666666666669,50.55250296034367,3.0
379,Registeel,Steel,,"['Clear Body', 'Light Metal']",80,75,150,75,150,50,580,96.66666666666669,38.908725099762506,3.0
380,Latias,Dragon,Psychic,['Levitate'],80,80,90,110,130,110,600,100.0,18.257418583505537,3.0
381,Latios,Dragon,Psychic,['Levitate'],80,90,80,130,110,110,600,100.0,18.257418583505537,3.0
382,Kyogre,Water,,['Drizzle'],100,100,90,150,140,90,670,111.66666666666669,24.09472049133493,3.0
383,Groudon,Ground,,['Drought'],100,150,140,100,90,90,670,111.66666666666669,24.09472049133493,3.0
384,Rayquaza,Dragon,Flying,['Air Lock'],105,150,90,150,90,95,680,113.33333333333331,26.40496586292477,3.0
385,Jirachi,Steel,Psychic,['Serene Grace'],100,100,100,100,100,100,600,100.0,0.0,3.0
387,Turtwig,Grass,,"['Overgrow', 'Shell Armor']",55,68,64,45,55,31,318,53.0,12.26104943849968,4.0
388,Grotle,Grass,,"['Overgrow', 'Shell Armor']",75,89,85,55,65,36,405,67.5,18.16360830525329,4.0
389,Torterra,Grass,Ground,"['Overgrow', 'Shell Armor']",95,109,105,75,85,56,525,87.5,18.16360830525329,4.0
390,Chimchar,Fire,,"['Blaze', 'Iron Fist']",44,58,44,58,44,61,309,51.5,7.566372975210778,4.0
391,Monferno,Fire,Fighting,"['Blaze', 'Iron Fist']",64,78,52,78,52,81,405,67.5,12.216791722870616,4.0
392,Infernape,Fire,Fighting,"['Blaze', 'Iron Fist']",76,104,71,104,71,108,534,89.0,16.47219880080778,4.0
393,Piplup,Water,,"['Defiant', 'Torrent']",53,51,53,61,56,40,314,52.333333333333336,6.368324391514267,4.0
394,Prinplup,Water,,"['Defiant', 'Torrent']",64,66,68,81,76,50,405,67.5,9.793705461502642,4.0
395,Empoleon,Water,Steel,"['Defiant', 'Torrent']",84,86,88,111,101,60,530,88.33333333333333,15.818414023606229,4.0
396,Starly,Normal,Flying,"['Keen Eye', 'Reckless']",40,55,30,30,30,60,245,40.833333333333336,12.38839062276542,4.0
397,Staravia,Normal,Flying,"['Intimidate', 'Reckless']",55,75,50,40,40,80,340,56.66666666666666,15.723301886761009,4.0
398,Staraptor,Normal,Flying,"['Intimidate', 'Reckless']",85,120,70,50,60,100,485,80.83333333333333,23.87758130315733,4.0
399,Bidoof,Normal,,"['Moody', 'Simple', 'Unaware']",59,45,40,35,40,31,250,41.66666666666666,8.900686615212459,4.0
400,Bibarel,Normal,Water,"['Moody', 'Simple', 'Unaware']",79,85,60,55,60,71,410,68.33333333333333,10.918892902772798,4.0
401,Kricketot,Bug,,"['Run Away', 'Shed Skin']",37,25,41,25,41,25,194,32.333333333333336,7.453559924999299,4.0
402,Kricketune,Bug,,"['Swarm', 'Technician']",77,85,51,55,51,65,384,64.0,13.102162671355696,4.0
403,Shinx,Electric,,"['Guts', 'Intimidate', 'Rivalry']",45,65,34,40,34,45,263,43.833333333333336,10.4788146064121,4.0
404,Luxio,Electric,,"['Guts', 'Intimidate', 'Rivalry']",60,85,49,60,49,60,363,60.5,12.010412149464312,4.0
405,Luxray,Electric,,"['Guts', 'Intimidate', 'Rivalry']",80,120,79,95,79,70,523,87.16666666666667,16.425758903489225,4.0
406,Budew,Grass,Poison,"['Leaf Guard', 'Natural Cure', 'Poison Point']",40,30,35,50,70,55,280,46.66666666666666,13.43709624716425,4.0
407,Roserade,Grass,Poison,"['Natural Cure', 'Poison Point', 'Technician']",60,70,65,125,105,90,515,85.83333333333333,23.348209543536505,4.0
408,Cranidos,Rock,,"['Mold Breaker', 'Sheer Force']",67,125,40,30,30,58,350,58.333333333333336,32.81598526463725,4.0
409,Rampardos,Rock,,"['Mold Breaker', 'Sheer Force']",97,165,60,65,50,58,495,82.5,39.76074278313556,4.0
410,Shieldon,Rock,Steel,"['Soundproof', 'Sturdy']",30,42,118,42,88,30,350,58.333333333333336,33.11428023610895,4.0
411,Bastiodon,Rock,Steel,"['Soundproof', 'Sturdy']",60,52,168,47,138,30,495,82.5,51.38660655592402,4.0
412,Burmy,Bug,,"['Overcoat', 'Shed Skin']",40,29,45,29,45,36,224,37.333333333333336,6.649979114420002,4.0
414,Mothim,Bug,Flying,"['Swarm', 'Tinted Lens']",70,94,50,94,50,66,424,70.66666666666667,18.09849594733097,4.0
415,Combee,Bug,Flying,"['Honey Gather', 'Hustle']",30,30,42,30,42,70,244,40.66666666666666,14.173527750312864,4.0
416,Vespiquen,Bug,Flying,"['Pressure', 'Unnerve']",70,80,102,80,102,40,474,79.0,21.06339637063944,4.0
